X,Y,NAME,TYPE,ADDRESS,REGION,WEBSITE,N1,N1_type,N2,N2_Type,Admin,Admin_Title,CONTACT,contact_alt,CHAIRMAN,Chairman_title,REMARKS,LAT,LONG
123.3051,9.30662,NEGROS ORIENTAL,CHAPTER,"Legaspi Street, Dumaguete City 6200",VISAYAS REGION,negros.oriental@redcross.org.ph,035-4224553,Landline,035-2252835,Bloodbank,Mrs. Louella N. Bael,Administrator,0917-8824214,,Dr. Henry A. Sojor,Chapter Chairman,,9.30662,123.3051
124.61142,11.00982,ORMOC CITY,CHAPTER,"San Pablo Street, Ormoc City 6541",VISAYAS REGION,ormoc.@redcross.org.ph,053-2552911,Telefax,,,Mrs. Ruby L. Gernale,Administrator,0915-5457796,,Dir. Climaco V. Evangelista,Chapter Chairman,,11.0098,124.61142
122.6478,11.1132,PASSI CITY,CHAPTER,"Front of Passi Plaza and Old City Hall Nutrition Building Compound Passi City, Iloilo",VISAYAS REGION,,,,,,,Administrator,,,,Chapter Chairman,,,
123.51363,9.21398,SIQUIJOR,SUB-CHAPTER,"Caridad Street, Poblacion, Siquijor, Siquijor  6225",VISAYAS REGION,siquijor@redcross.org.ph,035-4809270,Telefax,,,Ms. Rowena L. Maputi,Administrator,0905-4165607,,Dir. Arturo P. Pacatang,Chapter Chairman,mother chapter-Negros Oriental,9.21398,123.51363
125.52558,8.95957,AGUSAN DEL NORTE | BUTUAN CITY,CHAPTER,"Capitol Drive, Butuan City 8600",MINDANAO REGION,agusan.norte@redcross.org.ph,085-3428521,Landline,085-8159977,Telefax,Mr. Teodoro R. Cairo,Administrator,0918-9184956,,Dir. Felixberto L. Guiritan,Chapter Chairman,,8.95957,125.52558
121.97741,6.70764,BASILAN,SUB-CHAPTER,"Strong Blvd., Port Area, Isabela City, Basilan 7300",MINDANAO REGION,basilan@redcross.org.ph,062-2003345,Telefax,,,Mr.Jonathan L.Cabayao,Administrator,0917-8825733,,Dir. Bernardita F. Hontucan,Chapter Chairman,mother chapter-Zamboanga City,6.70764,121.97741
125.13359,8.16307,BUKIDNON,CHAPTER,"Capitol Site, Malaybalay City, Bukidnon 8700",MINDANAO REGION,bukidnon@redcross.org.ph,088-2213480,Telefax,088-8132455,Landline,Ms. Jocelyn  A. Daroy,Administrator,0915-3393711,0917-7071710,Dir. Leandro Jose H.Catarata,Chapter Chairman,,8.16307,125.13359
124.7155,9.25536,CAMIGUIN,SUB-CHAPTER,"Rizal Street, Mambajao, Camiguin 9100",MINDANAO REGION,camiguin@redcross.org.ph,,,,,c/o Mother Chapter,Administrator,,,c/o Mother Chapter,Chapter Chairman,mother chapter-Misamis Oriental-Cagayan de Oro City,9.25536,124.7155
125.96622,7.60821,COMPOSTELA VALLEY,CHAPTER,"Nabunturan Central Elem. School  Compound., Nabunturan, Compostela Valley Province 8800",MINDANAO REGION,compostela.valley@redcross.org.,084-3760685,Telefax,,,Mr. Joseph Randy M. Loy,Administrator,0920-9137885,,Dir. Louie I. Zerrudo,Chapter Chairman,,7.60821,125.96622
125.80854,7.45133,DAVAO DEL NORTE,CHAPTER,"Government Center, Mankilam, Tagum City, Davao del Norte 8100",MINDANAO REGION,davao@redcross.org.ph,084-2166910,Telefax,,,Mrs.Luzviminda C. Neri,Administrator,0922-8592860,0947-8913786,Dir. Norma D. Pereyras,Chapter Chairman,,7.45133,125.80854
125.3635,6.76195,DAVAO DEL SUR,CHAPTER,"Quezon Avenue, Digos City, Davao del Sur 8002",MINDANAO REGION,davao.sur@redcross.org.ph,082-5532832,Telefax,,,Mrs. Helen D. Caberto,Administrator,0928-5013106,0920-5438858,Dir. Alan A. Kintanar,Chapter Chairman,,6.76195,125.3635
126.2154,6.95693,DAVAO ORIENTAL,CHAPTER,"Hospital Drive, Matiao, Mati, Davao Oriental 8200",MINDANAO REGION,davao.oriental@redcross.org.ph,087-3884022,Telefax,,,Mrs. Catherine KRM Y. Bijis,Administrator,0918-5656752,,Dir.Cesar De Erio,Chapter Chairman,,6.95693,126.2154
125.17116,6.11463,GENERAL SANTOS CITY,CHAPTER,"City Hall Compound, General Santos City 9500",MINDANAO REGION,generalsantos@redcross.org.ph,083-3017305,Landline,083-5524323,Fax,Mrs. Merlita U. Gludo,Administrator,0918-9220170,,Dir. Michael T. Ang,Chapter Chairman,,6.11463,125.17116
125.08386,8.82099,GINGOOG CITY,CHAPTER,"Misamis Oriental Hospital Compound, Gingoog City 9014",MINDANAO REGION,gingoog@redcross.org.ph,088-427337,Telefax,088-8613034,Landline,Mrs. Marilyn T. Abian,Administrator,0917-8824228,0920-9006037,Dir. Marie L. Guingona,Chapter Chairman,,8.82099,125.08386
124.24959,8.23796,ILIGAN CITY,CHAPTER,"Don Pedro Street, Celdren Avenue, Rosario Heights, Iligan City 9200",MINDANAO REGION,iligan@redcross.org.ph,063-2231065,Telefax,,,Mrs. Genevieve C. Amodia,Administrator,0917-7164805,,Hon. Henry C. Dy,Chapter Chairman,,8.23796,124.24959
125.084,7.02187,NORTH COTABATO | KIDAPAWAN CITY,SUB-CHAPTER,"021 Jose Dans St., Poblacion, Kidapawan City 9400",MINDANAO REGION,northcotabatokidapawan@redcross.org. ph,064-5210525,Telefax,,,Mr. Leopoldo A. Devilles II,Administrator,0929-9757429,0922-8039433,"Dir. Erlinda S. Doblas, RSW",Chapter Chairman,mother chapter-Cotabato City,7.02187,125.084
123.78942,8.06046,LANAO DEL NORTE,SUB-CHAPTER,"Pigcarangan, Tubod, Lanao del Norte 9210",MINDANAO REGION,lanao.norte@redcross.org.ph,063-3415570,Telefax,,,Mr. Reynaldo D. Ruiz,Administrator,0917-8825741,,Dir. Lyndon G. Galica,Chapter Chairman,mother chapter-Iligan City,8.06046,123.78942
123.83825,8.14753,OZAMIZ CITY,CHAPTER,"S.M. Lao Hospital Compound, Manabay, Ozamiz City 7200",MINDANAO REGION,ozamis@redcross.org.ph,088-5213837,Telefax,,,Mrs. Jean Paz D. Eribal,Administrator,0918-9448147,,Dir. Rolando E. Romero,Chapter Chairman,,8.14753,123.83825
120.99591,6.05139,SULU,CHAPTER,"Marina Street, Municipal Compound, Jolo, Sulu 7400",MINDANAO REGION,sulu@redcross.org.ph,085-3418911,Telefax,,,Mrs. Preciosa S. Chiong,Administrator,0917-5450745,0917-8824211,"Dir. Nur ""Lady Ann"" I. Sahidulla",Chapter Chairman,,6.05139,120.99591
125.49578,9.78816,SURIGAO DEL NORTE,CHAPTER,"Parrucho Street Cor. Magallanes Street, Surigao City 8400",MINDANAO REGION,surigao.norte@redcross.org.ph,086-8261347,Telefax,086-2324065,Landline,Mrs. Marilou E. Talingting,Administrator,0920-9515873,,Dir. Eulalio P. Cortes,Chapter Chairman,,9.78816,125.49578
123.74805,8.06211,TANGUB CITY,CHAPTER,"City Hall Compound, Tangub City 7214, Misamis Occidental",MINDANAO REGION,tangub@redcross.org.ph,088-3953162,Telefax,,,Mrs. Enriquita G. Astillero,Administrator,0917-8825739,0918-9174160,Dir.  Edemar  S. Alota,Chapter Chairman,,8.06211,123.74805
122.06802,6.94876,ZAMBOANGA CITY,CHAPTER,"Rizal Street, Pettit Barracks, Zamboanga City 7000",MINDANAO REGION,zamboangacity@redcross.org.ph,062-9921622,Telefax,062-9912015,Bloodbank,"Dr.Victor A. Liozo, Jr.",Administrator,0918-9398950,,"Milagros L. Fernandez, M.D.",Chapter Chairman,,6.94876,122.06802
123.43859,7.82073,ZAMBOANGA DEL SUR | PAGADIAN CITY,CHAPTER,"Provincial Government Center, Barangay Dau, Pagadian City",MINDANAO REGION,zamboanga.sur@redcross.org.ph,062-2141717,Telefax,,,Ms. Hildaliza F. Mu¤oz,Administrator,0920-9019961,,"Dir.Reynaldo S. Ortiz, M.D.",Chapter Chairman,,7.82073,123.43859
122.57471,7.72748,ZAMBOANGA-SIBUGAY,SUB-CHAPTER,"Sanito Complex, Sanito, Veterans Village, Ipil, Zamboanga Sibugay",MINDANAO REGION,zamboanga.sibugay@redcross.org.ph,062-9558402,Telefax,062-3335720,Telefax,"Mr. Hilario G. Miranda, Jr.",Administrator,0918-9652465,,Dir. Dennis Victor G. Gemarino,Chapter Chairman,mother chapter-Zamboanga del Sur,7.72748,122.57471
